,weight
BTC,0.2635890614972739
AAVE,0.07120273400473492
MKR,0.03560136700236746
COMP,0.01186712233412249
ETH,0.1525214715354299
BNB,0.09705911824981901
SOL,0.027731176642805434
GMX,0.2382995641134128
DYDX,0.051064192310017034
SNX,0.051064192310017034
